Time,Merged Station-Satellite Rainfall
1-10 May 1999,31.15385
11-20 May 1999,20.75566
21-31 May 1999,19.06787
1-10 Jun 1999,0.0
11-20 Jun 1999,0.0
21-30 Jun 1999,10.11312
1-10 Jul 1999,0.0
11-20 Jul 1999,0.0
21-31 Jul 1999,0.1085973
1-10 Aug 1999,17.92308
11-20 Aug 1999,8.479638
21-31 Aug 1999,30.64253
1-10 Sep 1999,31.9638
11-20 Sep 1999,29.77376
21-30 Sep 1999,27.82805
1-10 Oct 1999,31.90045
11-20 Oct 1999,29.33937
21-31 Oct 1999,38.95927
1-10 Nov 1999,33.181
11-20 Nov 1999,39.71946
21-30 Nov 1999,40.68778
1-10 Dec 1999,29.1629
11-20 Dec 1999,28.95928
21-31 Dec 1999,25.02715
1-10 Jan 2000,16.55656
11-20 Jan 2000,17.69231
21-31 Jan 2000,9.995475
1-10 Feb 2000,10.34389
11-20 Feb 2000,16.47964
21-29 Feb 2000,11.14932
1-10 Mar 2000,45.98642
11-20 Mar 2000,33.0181
21-31 Mar 2000,33.91855
1-10 Apr 2000,45.95927
11-20 Apr 2000,46.57014
21-30 Apr 2000,44.76471
1-10 May 2000,28.8552
11-20 May 2000,17.85973
21-31 May 2000,31.36199
1-10 Jun 2000,0.0
11-20 Jun 2000,0.0
21-30 Jun 2000,4.552036
1-10 Jul 2000,0.0
11-20 Jul 2000,0.3438914
21-31 Jul 2000,0.0
1-10 Aug 2000,10.66063
11-20 Aug 2000,4.19457
21-31 Aug 2000,5.0
1-10 Sep 2000,26.53846
11-20 Sep 2000,20.80543
21-30 Sep 2000,11.00453
1-10 Oct 2000,44.65158
11-20 Oct 2000,46.72851
21-31 Oct 2000,54.22172
1-10 Nov 2000,48.06335
11-20 Nov 2000,48.80543
21-30 Nov 2000,37.67421
1-10 Dec 2000,25.44796
11-20 Dec 2000,25.47059
21-31 Dec 2000,26.40724
1-10 Jan 2001,5.393665
11-20 Jan 2001,13.80995
21-31 Jan 2001,11.26244
1-10 Feb 2001,16.99548
11-20 Feb 2001,16.99548
21-28 Feb 2001,9.312217
1-10 Mar 2001,23.58371
11-20 Mar 2001,36.45249
