crop,window_id,window_label,simulation_run,sim_cycle_rain_mm,sim_mean_tmax_c,rain_sufficient,estab_dry_spell,temp_stress
maize,29,11-20 Oct,58,326.6,23.13,0,0,0
maize,29,11-20 Oct,59,381.0,22.62,1,0,0
maize,29,11-20 Oct,60,284.0,23.32,0,0,0
maize,29,11-20 Oct,61,321.7,23.26,0,0,0
maize,29,11-20 Oct,62,389.7,23.18,1,0,0
maize,29,11-20 Oct,63,277.3,23.12,0,0,0
maize,29,11-20 Oct,64,329.6,24.16,0,0,0
maize,29,11-20 Oct,65,396.6,23.46,1,0,0
maize,29,11-20 Oct,66,385.0,22.97,1,0,0
maize,29,11-20 Oct,67,358.8,23.24,1,0,0
maize,29,11-20 Oct,68,357.9,22.51,1,0,0
maize,29,11-20 Oct,69,327.2,23.28,0,0,0
maize,29,11-20 Oct,70,329.5,23.05,0,0,0
maize,29,11-20 Oct,71,391.3,23.15,1,0,0
maize,29,11-20 Oct,72,365.6,23.59,1,0,0
