date,year,month,dekad_of_year,abs_dekad,rainfall_mm,tmax_c,tmin_c,is_wet_dekad,season,location
1982-12-11,1982,12,35,790,37.04977,22.77886,13.12975,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1982-12-21,1982,12,36,791,22.62443,24.67109,13.75546,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-01-01,1983,1,1,792,8.438914,23.09821,13.6934,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-01-11,1983,1,2,793,0.0,25.02419,14.42714,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-01-21,1983,1,3,794,6.253394,24.45315,13.92963,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-02-01,1983,2,4,795,21.41629,24.0203,14.10004,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-02-11,1983,2,5,796,21.2172,24.28814,14.81239,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-02-21,1983,2,6,797,0.7330317,24.40763,14.40628,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-03-01,1983,3,7,798,17.93665,22.48401,14.48845,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-03-11,1983,3,8,799,35.94118,23.15968,14.91337,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-03-21,1983,3,9,800,62.40724,23.2984,15.0432,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-04-01,1983,4,10,801,33.1991,22.31839,14.01541,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-04-11,1983,4,11,802,41.94118,21.66154,14.04958,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-04-21,1983,4,12,803,77.1448,20.83701,14.38638,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-05-01,1983,5,13,804,20.44796,21.63093,14.51654,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-05-11,1983,5,14,805,11.70588,21.83609,14.41841,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-05-21,1983,5,15,806,27.42534,22.30205,13.70342,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-06-01,1983,6,16,807,0.6108598,22.60619,12.93268,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-06-11,1983,6,17,808,0.0,23.78442,13.54782,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-06-21,1983,6,18,809,1.366516,21.90654,13.36536,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-07-01,1983,7,19,810,0.642534,23.36187,13.48257,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-07-11,1983,7,20,811,2.19457,23.09443,14.40543,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-07-21,1983,7,21,812,1.986425,23.1405,14.61325,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-08-01,1983,8,22,813,14.57919,22.60878,14.25443,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-08-11,1983,8,23,814,22.29412,22.03925,14.07067,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-08-21,1983,8,24,815,17.06787,21.29858,13.28617,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-09-01,1983,9,25,816,37.17195,23.05939,14.04933,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-09-11,1983,9,26,817,20.39819,23.34395,14.06088,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-09-21,1983,9,27,818,29.22624,22.68365,13.31671,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-10-01,1983,10,28,819,19.86878,21.43711,14.3876,0,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-10-11,1983,10,29,820,43.00905,22.28888,13.99779,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-10-21,1983,10,30,821,32.81448,22.78124,13.70119,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-11-01,1983,11,31,822,41.26244,23.1463,13.93447,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-11-11,1983,11,32,823,27.19004,23.11222,13.50175,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-11-21,1983,11,33,824,34.75566,22.54829,13.38592,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-12-01,1983,12,34,825,27.77828,21.97512,12.79837,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-12-11,1983,12,35,826,33.0181,22.3048,12.99418,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1983-12-21,1983,12,36,827,37.7466,22.52059,13.69861,1,A (Sep-Dec),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-01-01,1984,1,1,828,18.54751,22.63618,13.64004,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-01-11,1984,1,2,829,23.67873,23.26517,12.97468,1,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-01-21,1984,1,3,830,5.140272,23.66603,13.26554,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-02-01,1984,2,4,831,18.82805,22.3715,12.1744,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-02-11,1984,2,5,832,11.19909,22.97805,12.26983,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-02-21,1984,2,6,833,13.44344,21.71279,12.4663,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-03-01,1984,3,7,834,37.33032,22.09014,13.20011,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-03-11,1984,3,8,835,61.65611,21.51949,13.18442,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-03-21,1984,3,9,836,26.79185,21.87318,12.74055,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-04-01,1984,4,10,837,56.99095,20.71281,12.86117,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-04-11,1984,4,11,838,36.8914,22.00989,13.75878,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-04-21,1984,4,12,839,38.0,21.05166,14.22,1,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-05-01,1984,5,13,840,5.900453,22.75234,13.85051,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-05-11,1984,5,14,841,17.0905,21.61425,13.46761,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-05-21,1984,5,15,842,9.434389,22.51916,12.93014,0,B (Mar-May),"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-06-01,1984,6,16,843,0.0,22.36472,12.65812,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
1984-06-11,1984,6,17,844,0.0,23.02019,13.17206,0,dry/other,"Nyagatare box X 30.0-30.6, Y -1.5..-1.05 (spatial avg)"
